sat_id,ground_station,window_start,window_end,duration_min
0,Boreal,2025-03-30T05:02:00,2025-03-30T05:03:00,2.00
0,Boreal,2025-03-30T14:56:00,2025-03-30T14:57:00,2.00
0,Boreal,2025-03-31T05:02:00,2025-03-31T05:03:00,2.00
0,Boreal,2025-03-31T14:55:00,2025-03-31T14:57:00,3.00
0,Boreal,2025-04-01T05:01:00,2025-04-01T05:03:00,3.00
0,Boreal,2025-04-01T14:55:00,2025-04-01T14:57:00,3.00
0,Boreal,2025-04-02T05:01:00,2025-04-02T05:03:00,3.00
0,Boreal,2025-04-02T14:54:00,2025-04-02T14:56:00,3.00
0,Boreal,2025-04-03T05:01:00,2025-04-03T05:02:00,2.00
0,Boreal,2025-04-03T14:54:00,2025-04-03T14:56:00,3.00
0,Boreal,2025-04-04T05:00:00,2025-04-04T05:02:00,3.00
0,Boreal,2025-04-04T14:54:00,2025-04-04T14:55:00,2.00
0,Boreal,2025-04-05T05:00:00,2025-04-05T05:01:00,2.00
0,Boreal,2025-04-05T14:54:00,2025-04-05T14:55:00,2.00
0,Boreal,2025-04-06T05:01:00,2025-04-06T05:01:00,1.00
0,Boreal,2025-04-06T14:54:00,2025-04-06T14:54:00,1.00
0,Boreal,2025-04-09T03:22:00,2025-04-09T03:23:00,2.00
0,Boreal,2025-04-09T13:16:00,2025-04-09T13:16:00,1.00
0,Boreal,2025-04-10T03:22:00,2025-04-10T03:23:00,2.00
0,Boreal,2025-04-10T13:15:00,2025-04-10T13:16:00,2.00
0,Boreal,2025-04-11T03:21:00,2025-04-11T03:23:00,3.00
0,Boreal,2025-04-11T13:15:00,2025-04-11T13:16:00,2.00
0,Boreal,2025-04-12T03:21:00,2025-04-12T03:22:00,2.00
0,Boreal,2025-04-12T13:14:00,2025-04-12T13:16:00,3.00
1,Boreal,2025-03-30T04:53:00,2025-03-30T04:53:00,1.00
1,Boreal,2025-03-30T14:47:00,2025-03-30T14:47:00,1.00
1,Boreal,2025-03-31T04:52:00,2025-03-31T04:53:00,2.00
1,Boreal,2025-03-31T14:46:00,2025-03-31T14:47:00,2.00
1,Boreal,2025-04-01T04:52:00,2025-04-01T04:53:00,2.00
1,Boreal,2025-04-01T14:45:00,2025-04-01T14:47:00,3.00
1,Boreal,2025-04-02T04:51:00,2025-04-02T04:53:00,3.00
1,Boreal,2025-04-02T14:45:00,2025-04-02T14:47:00,3.00
1,Boreal,2025-04-03T04:51:00,2025-04-03T04:53:00,3.00
1,Boreal,2025-04-03T14:44:00,2025-04-03T14:46:00,3.00
1,Boreal,2025-04-04T04:51:00,2025-04-04T04:52:00,2.00
1,Boreal,2025-04-04T14:44:00,2025-04-04T14:46:00,3.00
1,Boreal,2025-04-05T04:50:00,2025-04-05T04:52:00,3.00
1,Boreal,2025-04-05T14:44:00,2025-04-05T14:45:00,2.00
1,Boreal,2025-04-06T04:50:00,2025-04-06T04:51:00,2.00
1,Boreal,2025-04-06T14:44:00,2025-04-06T14:45:00,2.00
1,Boreal,2025-04-07T04:50:00,2025-04-07T04:51:00,2.00
1,Boreal,2025-04-07T14:44:00,2025-04-07T14:44:00,1.00
1,Boreal,2025-04-10T03:12:00,2025-04-10T03:13:00,2.00
1,Boreal,2025-04-10T13:06:00,2025-04-10T13:06:00,1.00
1,Boreal,2025-04-11T03:12:00,2025-04-11T03:13:00,2.00
1,Boreal,2025-04-11T13:05:00,2025-04-11T13:06:00,2.00
1,Boreal,2025-04-12T03:11:00,2025-04-12T03:13:00,3.00
1,Boreal,2025-04-12T13:05:00,2025-04-12T13:06:00,2.00
2,Boreal,2025-03-31T04:43:00,2025-03-31T04:43:00,1.00
2,Boreal,2025-04-01T04:42:00,2025-04-01T04:43:00,2.00
2,Boreal,2025-04-01T14:36:00,2025-04-01T14:37:00,2.00
2,Boreal,2025-04-02T04:42:00,2025-04-02T04:43:00,2.00
2,Boreal,2025-04-02T14:35:00,2025-04-02T14:37:00,3.00
2,Boreal,2025-04-03T04:41:00,2025-04-03T04:43:00,3.00
2,Boreal,2025-04-03T14:35:00,2025-04-03T14:36:00,2.00
2,Boreal,2025-04-04T04:41:00,2025-04-04T04:43:00,3.00
2,Boreal,2025-04-04T14:34:00,2025-04-04T14:36:00,3.00
2,Boreal,2025-04-05T04:41:00,2025-04-05T04:42:00,2.00
2,Boreal,2025-04-05T14:34:00,2025-04-05T14:36:00,3.00
2,Boreal,2025-04-06T04:40:00,2025-04-06T04:42:00,3.00
2,Boreal,2025-04-06T14:34:00,2025-04-06T14:35:00,2.00
2,Boreal,2025-04-07T04:40:00,2025-04-07T04:41:00,2.00
2,Boreal,2025-04-07T14:34:00,2025-04-07T14:35:00,2.00
2,Boreal,2025-04-08T04:40:00,2025-04-08T04:41:00,2.00
2,Boreal,2025-04-08T14:34:00,2025-04-08T14:34:00,1.00
2,Boreal,2025-04-11T03:03:00,2025-04-11T03:03:00,1.00
2,Boreal,2025-04-12T03:02:00,2025-04-12T03:03:00,2.00
2,Boreal,2025-04-12T12:55:00,2025-04-12T12:56:00,2.00
3,Boreal,2025-04-01T04:33:00,2025-04-01T04:33:00,1.00
3,Boreal,2025-04-02T04:32:00,2025-04-02T04:33:00,2.00
3,Boreal,2025-04-02T14:26:00,2025-04-02T14:27:00,2.00
3,Boreal,2025-04-03T04:32:00,2025-04-03T04:33:00,2.00
3,Boreal,2025-04-03T14:25:00,2025-04-03T14:27:00,3.00
3,Boreal,2025-04-04T04:31:00,2025-04-04T04:33:00,3.00
3,Boreal,2025-04-04T14:25:00,2025-04-04T14:26:00,2.00
3,Boreal,2025-04-05T04:31:00,2025-04-05T04:33:00,3.00
3,Boreal,2025-04-05T14:24:00,2025-04-05T14:26:00,3.00
3,Boreal,2025-04-06T04:31:00,2025-04-06T04:32:00,2.00
3,Boreal,2025-04-06T14:24:00,2025-04-06T14:26:00,3.00
3,Boreal,2025-04-07T04:30:00,2025-04-07T04:32:00,3.00
3,Boreal,2025-04-07T14:24:00,2025-04-07T14:25:00,2.00
3,Boreal,2025-04-08T04:30:00,2025-04-08T04:31:00,2.00
3,Boreal,2025-04-08T14:24:00,2025-04-08T14:25:00,2.00
3,Boreal,2025-04-09T04:30:00,2025-04-09T04:31:00,2.00
3,Boreal,2025-04-09T14:23:00,2025-04-09T14:24:00,2.00
3,Boreal,2025-04-12T02:53:00,2025-04-12T02:53:00,1.00
4,Boreal,2025-03-30T06:01:00,2025-03-30T06:01:00,1.00
4,Boreal,2025-03-30T15:54:00,2025-03-30T15:55:00,2.00
4,Boreal,2025-04-02T04:23:00,2025-04-02T04:23:00,1.00
4,Boreal,2025-04-03T04:22:00,2025-04-03T04:23:00,2.00
4,Boreal,2025-04-03T14:16:00,2025-04-03T14:17:00,2.00
4,Boreal,2025-04-04T04:22:00,2025-04-04T04:23:00,2.00
4,Boreal,2025-04-04T14:15:00,2025-04-04T14:17:00,3.00
4,Boreal,2025-04-05T04:21:00,2025-04-05T04:23:00,3.00
4,Boreal,2025-04-05T14:15:00,2025-04-05T14:16:00,2.00
4,Boreal,2025-04-06T04:21:00,2025-04-06T04:23:00,3.00
4,Boreal,2025-04-06T14:14:00,2025-04-06T14:16:00,3.00
4,Boreal,2025-04-07T04:20:00,2025-04-07T04:22:00,3.00
4,Boreal,2025-04-07T14:14:00,2025-04-07T14:16:00,3.00
4,Boreal,2025-04-08T04:20:00,2025-04-08T04:22:00,3.00
4,Boreal,2025-04-08T14:14:00,2025-04-08T14:15:00,2.00
4,Boreal,2025-04-09T04:20:00,2025-04-09T04:21:00,2.00
4,Boreal,2025-04-09T14:14:00,2025-04-09T14:15:00,2.00
4,Boreal,2025-04-10T04:20:00,2025-04-10T04:21:00,2.00
4,Boreal,2025-04-10T14:13:00,2025-04-10T14:14:00,2.00
5,Boreal,2025-03-30T05:51:00,2025-03-30T05:52:00,2.00
5,Boreal,2025-03-30T15:44:00,2025-03-30T15:46:00,3.00
5,Boreal,2025-03-31T05:51:00,2025-03-31T05:51:00,1.00
5,Boreal,2025-03-31T15:44:00,2025-03-31T15:45:00,2.00
5,Boreal,2025-04-01T15:44:00,2025-04-01T15:44:00,1.00
5,Boreal,2025-04-03T04:13:00,2025-04-03T04:13:00,1.00
5,Boreal,2025-04-04T04:12:00,2025-04-04T04:13:00,2.00
5,Boreal,2025-04-04T14:06:00,2025-04-04T14:06:00,1.00
5,Boreal,2025-04-05T04:12:00,2025-04-05T04:13:00,2.00
5,Boreal,2025-04-05T14:05:00,2025-04-05T14:06:00,2.00
5,Boreal,2025-04-06T04:11:00,2025-04-06T04:13:00,3.00
5,Boreal,2025-04-06T14:05:00,2025-04-06T14:06:00,2.00
5,Boreal,2025-04-07T04:11:00,2025-04-07T04:13:00,3.00
5,Boreal,2025-04-07T14:04:00,2025-04-07T14:06:00,3.00
5,Boreal,2025-04-08T04:10:00,2025-04-08T04:12:00,3.00
5,Boreal,2025-04-08T14:04:00,2025-04-08T14:06:00,3.00
5,Boreal,2025-04-09T04:10:00,2025-04-09T04:12:00,3.00
5,Boreal,2025-04-09T14:04:00,2025-04-09T14:05:00,2.00
5,Boreal,2025-04-10T04:10:00,2025-04-10T04:11:00,2.00
5,Boreal,2025-04-10T14:03:00,2025-04-10T14:05:00,3.00
5,Boreal,2025-04-11T04:10:00,2025-04-11T04:11:00,2.00
5,Boreal,2025-04-11T14:03:00,2025-04-11T14:04:00,2.00
6,Boreal,2025-03-30T05:41:00,2025-03-30T05:42:00,2.00
6,Boreal,2025-03-30T15:34:00,2025-03-30T15:36:00,3.00
6,Boreal,2025-03-31T05:41:00,2025-03-31T05:42:00,2.00
6,Boreal,2025-03-31T15:34:00,2025-03-31T15:36:00,3.00
6,Boreal,2025-04-01T05:41:00,2025-04-01T05:41:00,1.00
6,Boreal,2025-04-01T15:34:00,2025-04-01T15:35:00,2.00
6,Boreal,2025-04-02T15:34:00,2025-04-02T15:34:00,1.00
6,Boreal,2025-04-04T04:03:00,2025-04-04T04:03:00,1.00
6,Boreal,2025-04-05T04:02:00,2025-04-05T04:03:00,2.00
6,Boreal,2025-04-05T13:56:00,2025-04-05T13:56:00,1.00
6,Boreal,2025-04-06T04:02:00,2025-04-06T04:03:00,2.00
6,Boreal,2025-04-06T13:55:00,2025-04-06T13:56:00,2.00
6,Boreal,2025-04-07T04:01:00,2025-04-07T04:03:00,3.00
6,Boreal,2025-04-07T13:55:00,2025-04-07T13:56:00,2.00
6,Boreal,2025-04-08T04:01:00,2025-04-08T04:03:00,3.00
6,Boreal,2025-04-08T13:54:00,2025-04-08T13:56:00,3.00
6,Boreal,2025-04-09T04:00:00,2025-04-09T04:02:00,3.00
6,Boreal,2025-04-09T13:54:00,2025-04-09T13:56:00,3.00
6,Boreal,2025-04-10T04:00:00,2025-04-10T04:02:00,3.00
6,Boreal,2025-04-10T13:54:00,2025-04-10T13:55:00,2.00
6,Boreal,2025-04-11T04:00:00,2025-04-11T04:01:00,2.00
6,Boreal,2025-04-11T13:53:00,2025-04-11T13:55:00,3.00
6,Boreal,2025-04-12T04:00:00,2025-04-12T04:01:00,2.00
6,Boreal,2025-04-12T13:53:00,2025-04-12T13:54:00,2.00
7,Boreal,2025-03-30T05:31:00,2025-03-30T05:33:00,3.00
7,Boreal,2025-03-30T15:24:00,2025-03-30T15:26:00,3.00
7,Boreal,2025-03-31T05:31:00,2025-03-31T05:32:00,2.00
7,Boreal,2025-03-31T15:24:00,2025-03-31T15:26:00,3.00
7,Boreal,2025-04-01T05:31:00,2025-04-01T05:32:00,2.00
7,Boreal,2025-04-01T15:24:00,2025-04-01T15:26:00,3.00
7,Boreal,2025-04-02T05:31:00,2025-04-02T05:31:00,1.00
7,Boreal,2025-04-02T15:24:00,2025-04-02T15:25:00,2.00
7,Boreal,2025-04-03T15:24:00,2025-04-03T15:24:00,1.00
7,Boreal,2025-04-06T03:52:00,2025-04-06T03:53:00,2.00
7,Boreal,2025-04-06T13:46:00,2025-04-06T13:46:00,1.00
7,Boreal,2025-04-07T03:52:00,2025-04-07T03:53:00,2.00
7,Boreal,2025-04-07T13:45:00,2025-04-07T13:46:00,2.00
7,Boreal,2025-04-08T03:51:00,2025-04-08T03:53:00,3.00
7,Boreal,2025-04-08T13:45:00,2025-04-08T13:46:00,2.00
7,Boreal,2025-04-09T03:51:00,2025-04-09T03:53:00,3.00
7,Boreal,2025-04-09T13:44:00,2025-04-09T13:46:00,3.00
7,Boreal,2025-04-10T03:50:00,2025-04-10T03:52:00,3.00
7,Boreal,2025-04-10T13:44:00,2025-04-10T13:46:00,3.00
7,Boreal,2025-04-11T03:50:00,2025-04-11T03:52:00,3.00
7,Boreal,2025-04-11T13:44:00,2025-04-11T13:45:00,2.00
7,Boreal,2025-04-12T03:50:00,2025-04-12T03:51:00,2.00
7,Boreal,2025-04-12T13:43:00,2025-04-12T13:45:00,3.00
8,Boreal,2025-03-30T05:21:00,2025-03-30T05:23:00,3.00
8,Boreal,2025-03-30T15:15:00,2025-03-30T15:17:00,3.00
8,Boreal,2025-03-31T05:21:00,2025-03-31T05:23:00,3.00
8,Boreal,2025-03-31T15:14:00,2025-03-31T15:16:00,3.00
8,Boreal,2025-04-01T05:21:00,2025-04-01T05:22:00,2.00
8,Boreal,2025-04-01T15:14:00,2025-04-01T15:16:00,3.00
8,Boreal,2025-04-02T05:21:00,2025-04-02T05:22:00,2.00
8,Boreal,2025-04-02T15:14:00,2025-04-02T15:16:00,3.00
8,Boreal,2025-04-03T05:21:00,2025-04-03T05:21:00,1.00
8,Boreal,2025-04-03T15:14:00,2025-04-03T15:15:00,2.00
8,Boreal,2025-04-04T15:14:00,2025-04-04T15:14:00,1.00
8,Boreal,2025-04-07T03:42:00,2025-04-07T03:43:00,2.00
8,Boreal,2025-04-07T13:36:00,2025-04-07T13:36:00,1.00
