sat_id,ground_station,window_start,window_end,duration_min
0,California,2025-03-30T07:01:00,2025-03-30T07:03:00,3.00
0,California,2025-03-31T07:01:00,2025-03-31T07:02:00,2.00
0,California,2025-03-31T19:21:00,2025-03-31T19:22:00,2.00
0,California,2025-04-01T07:01:00,2025-04-01T07:01:00,1.00
0,California,2025-04-01T19:20:00,2025-04-01T19:22:00,3.00
0,California,2025-04-02T19:19:00,2025-04-02T19:21:00,3.00
0,California,2025-04-03T19:19:00,2025-04-03T19:21:00,3.00
0,California,2025-04-04T19:19:00,2025-04-04T19:20:00,2.00
0,California,2025-04-05T19:19:00,2025-04-05T19:20:00,2.00
0,California,2025-04-07T05:22:00,2025-04-07T05:23:00,2.00
0,California,2025-04-08T05:21:00,2025-04-08T05:23:00,3.00
0,California,2025-04-09T05:21:00,2025-04-09T05:23:00,3.00
0,California,2025-04-10T05:21:00,2025-04-10T05:22:00,2.00
0,California,2025-04-11T05:20:00,2025-04-11T05:22:00,3.00
0,California,2025-04-11T17:40:00,2025-04-11T17:41:00,2.00
0,California,2025-04-12T05:21:00,2025-04-12T05:21:00,1.00
0,California,2025-04-12T17:39:00,2025-04-12T17:41:00,3.00
1,California,2025-03-30T06:51:00,2025-03-30T06:53:00,3.00
1,California,2025-03-31T06:51:00,2025-03-31T06:53:00,3.00
1,California,2025-04-01T06:51:00,2025-04-01T06:52:00,2.00
1,California,2025-04-01T19:11:00,2025-04-01T19:11:00,1.00
1,California,2025-04-02T06:51:00,2025-04-02T06:51:00,1.00
1,California,2025-04-02T19:10:00,2025-04-02T19:11:00,2.00
1,California,2025-04-03T19:09:00,2025-04-03T19:11:00,3.00
1,California,2025-04-04T19:09:00,2025-04-04T19:11:00,3.00
1,California,2025-04-05T19:09:00,2025-04-05T19:10:00,2.00
1,California,2025-04-06T19:09:00,2025-04-06T19:10:00,2.00
1,California,2025-04-08T05:12:00,2025-04-08T05:13:00,2.00
1,California,2025-04-09T05:11:00,2025-04-09T05:13:00,3.00
1,California,2025-04-10T05:11:00,2025-04-10T05:13:00,3.00
1,California,2025-04-11T05:10:00,2025-04-11T05:12:00,3.00
1,California,2025-04-12T05:10:00,2025-04-12T05:12:00,3.00
1,California,2025-04-12T17:30:00,2025-04-12T17:31:00,2.00
2,California,2025-03-30T06:42:00,2025-03-30T06:43:00,2.00
2,California,2025-03-31T06:41:00,2025-03-31T06:43:00,3.00
2,California,2025-04-01T06:41:00,2025-04-01T06:43:00,3.00
2,California,2025-04-02T06:41:00,2025-04-02T06:42:00,2.00
