sat_id,ground_station,window_start,window_end,duration_min
0,Patagonia,2025-03-30T18:10:00,2025-03-30T18:10:00,1.00
0,Patagonia,2025-04-01T06:36:00,2025-04-01T06:37:00,2.00
0,Patagonia,2025-04-02T06:36:00,2025-04-02T06:37:00,2.00
0,Patagonia,2025-04-03T06:35:00,2025-04-03T06:37:00,3.00
0,Patagonia,2025-04-03T16:32:00,2025-04-03T16:32:00,1.00
0,Patagonia,2025-04-04T06:35:00,2025-04-04T06:37:00,3.00
0,Patagonia,2025-04-04T16:31:00,2025-04-04T16:32:00,2.00
0,Patagonia,2025-04-05T06:34:00,2025-04-05T06:36:00,3.00
0,Patagonia,2025-04-05T16:30:00,2025-04-05T16:32:00,3.00
0,Patagonia,2025-04-06T06:34:00,2025-04-06T06:36:00,3.00
0,Patagonia,2025-04-06T16:30:00,2025-04-06T16:32:00,3.00
0,Patagonia,2025-04-07T06:34:00,2025-04-07T06:35:00,2.00
0,Patagonia,2025-04-07T16:30:00,2025-04-07T16:31:00,2.00
0,Patagonia,2025-04-08T06:34:00,2025-04-08T06:35:00,2.00
0,Patagonia,2025-04-08T16:29:00,2025-04-08T16:31:00,3.00
0,Patagonia,2025-04-09T16:29:00,2025-04-09T16:31:00,3.00
0,Patagonia,2025-04-10T16:29:00,2025-04-10T16:30:00,2.00
0,Patagonia,2025-04-12T04:56:00,2025-04-12T04:56:00,1.00
1,Patagonia,2025-03-30T18:00:00,2025-03-30T18:01:00,2.00
1,Patagonia,2025-03-31T18:00:00,2025-03-31T18:00:00,1.00
1,Patagonia,2025-04-02T06:27:00,2025-04-02T06:27:00,1.00
1,Patagonia,2025-04-03T06:26:00,2025-04-03T06:27:00,2.00
1,Patagonia,2025-04-04T06:25:00,2025-04-04T06:27:00,3.00
1,Patagonia,2025-04-04T16:22:00,2025-04-04T16:22:00,1.00
1,Patagonia,2025-04-05T06:25:00,2025-04-05T06:27:00,3.00
1,Patagonia,2025-04-05T16:21:00,2025-04-05T16:22:00,2.00
1,Patagonia,2025-04-06T06:24:00,2025-04-06T06:26:00,3.00
1,Patagonia,2025-04-06T16:20:00,2025-04-06T16:22:00,3.00
1,Patagonia,2025-04-07T06:24:00,2025-04-07T06:26:00,3.00
1,Patagonia,2025-04-07T16:20:00,2025-04-07T16:22:00,3.00
1,Patagonia,2025-04-08T06:24:00,2025-04-08T06:25:00,2.00
1,Patagonia,2025-04-08T16:20:00,2025-04-08T16:21:00,2.00
1,Patagonia,2025-04-09T06:24:00,2025-04-09T06:25:00,2.00
1,Patagonia,2025-04-09T16:19:00,2025-04-09T16:21:00,3.00
1,Patagonia,2025-04-10T16:19:00,2025-04-10T16:21:00,3.00
1,Patagonia,2025-04-11T16:19:00,2025-04-11T16:20:00,2.00
2,Patagonia,2025-03-30T07:55:00,2025-03-30T07:55:00,1.00
2,Patagonia,2025-03-30T17:50:00,2025-03-30T17:52:00,3.00
2,Patagonia,2025-03-31T17:50:00,2025-03-31T17:51:00,2.00
2,Patagonia,2025-04-01T17:50:00,2025-04-01T17:50:00,1.00
2,Patagonia,2025-04-03T06:17:00,2025-04-03T06:17:00,1.00
2,Patagonia,2025-04-04T06:16:00,2025-04-04T06:17:00,2.00
2,Patagonia,2025-04-05T06:15:00,2025-04-05T06:17:00,3.00
2,Patagonia,2025-04-05T16:12:00,2025-04-05T16:12:00,1.00
2,Patagonia,2025-04-06T06:15:00,2025-04-06T06:17:00,3.00
