sat_id,ground_station,window_start,window_end,duration_min
0,Taiga,2025-03-31T14:55:00,2025-03-31T14:55:00,1.00
0,Taiga,2025-04-01T05:02:00,2025-04-01T05:03:00,2.00
0,Taiga,2025-04-01T14:54:00,2025-04-01T14:55:00,2.00
0,Taiga,2025-04-02T05:02:00,2025-04-02T05:03:00,2.00
0,Taiga,2025-04-02T14:54:00,2025-04-02T14:55:00,2.00
0,Taiga,2025-04-03T05:01:00,2025-04-03T05:03:00,3.00
0,Taiga,2025-04-03T14:53:00,2025-04-03T14:55:00,3.00
0,Taiga,2025-04-04T05:01:00,2025-04-04T05:02:00,2.00
0,Taiga,2025-04-04T14:53:00,2025-04-04T14:55:00,3.00
0,Taiga,2025-04-05T05:00:00,2025-04-05T05:02:00,3.00
0,Taiga,2025-04-05T14:53:00,2025-04-05T14:54:00,2.00
0,Taiga,2025-04-06T05:00:00,2025-04-06T05:02:00,3.00
0,Taiga,2025-04-06T14:52:00,2025-04-06T14:54:00,3.00
0,Taiga,2025-04-07T05:00:00,2025-04-07T05:01:00,2.00
0,Taiga,2025-04-07T14:52:00,2025-04-07T14:53:00,2.00
0,Taiga,2025-04-08T05:00:00,2025-04-08T05:01:00,2.00
0,Taiga,2025-04-08T14:52:00,2025-04-08T14:53:00,2.00
0,Taiga,2025-04-09T05:00:00,2025-04-09T05:00:00,1.00
0,Taiga,2025-04-09T14:52:00,2025-04-09T14:52:00,1.00
0,Taiga,2025-04-10T05:00:00,2025-04-10T05:00:00,1.00
0,Taiga,2025-04-11T13:14:00,2025-04-11T13:15:00,2.00
0,Taiga,2025-04-12T03:22:00,2025-04-12T03:22:00,1.00
0,Taiga,2025-04-12T13:14:00,2025-04-12T13:15:00,2.00
1,Taiga,2025-03-30T06:30:00,2025-03-30T06:31:00,2.00
1,Taiga,2025-03-31T06:30:00,2025-03-31T06:30:00,1.00
1,Taiga,2025-04-01T14:45:00,2025-04-01T14:45:00,1.00
1,Taiga,2025-04-02T04:52:00,2025-04-02T04:53:00,2.00
1,Taiga,2025-04-02T14:44:00,2025-04-02T14:45:00,2.00
1,Taiga,2025-04-03T04:52:00,2025-04-03T04:53:00,2.00
1,Taiga,2025-04-03T14:44:00,2025-04-03T14:45:00,2.00
1,Taiga,2025-04-04T04:51:00,2025-04-04T04:53:00,3.00
1,Taiga,2025-04-04T14:43:00,2025-04-04T14:45:00,3.00
1,Taiga,2025-04-05T04:51:00,2025-04-05T04:52:00,2.00
1,Taiga,2025-04-05T14:43:00,2025-04-05T14:45:00,3.00
1,Taiga,2025-04-06T04:50:00,2025-04-06T04:52:00,3.00
